,full_text,tweet_english
72,tolol banget ni orang lo koar2 tantang orang gilir kasi dalil terang matahari lo kicep,really stupid people lo koar2 challenge people queue kasi dalil terang Matahari lo kicep
73,gerombol kim lg galau,hordes of kim lg galau
74,boneka mulyono,mulyono doll
75,ni orang emang sok yes banget ngatain nabi muhammad saw anggur tengah cinta nabi muhammad saw kalau dungu jangan full full itu,this is the person who is pretentious yes really matain prophet muhammad saw wine in the middle of the love of prophet muhammad saw if stupid don't be full full of it
76,nama etikamintanya sanksi hukum goblokdi piara,the name of the ethics is sanctioned by the law of goblokdi piara
77,politik identitas injury time maenkan truss,identity politics injury time maenkan truss
78,orang goblog ajar orang goblog goblok,goblog people teach stupid goblog people
79,hansip pasar bumiayu bro tukang palak d ngemis online x land jakarta pulang kampung sj ongkosin orgkok smpyn nanya pernah bandungya kagak pernah lah,hansip pasar bumiayu bro tukang palak d ngemis online x land jakarta pulang kampung sj fgkosin or? smpyn nanya never bandungya never was
80,macam taik klen semua satu baris klen bela beda baris klen hujat prabowo pribadi bukan milik gerindra kelompok tapi milik semua partai semua warga negara punya indonesia beliau presiden bro nya lebih ayom,like taik klen all one line klen defends different lines klen blasphemy private prabowo does not belong to gerindra group but belongs to all parties all citizens have indonesia he president bro is more ayom
81,bg warga jakarta mayoritas sdh cerdas rekam jejak lalu sbgi patok nilai layak tidak pimpin jakarta jadi warga jakarta sdh puluh tahun tinggal jakarta sdh taraf ibarat jgn ajar bebek renang jadi sdh tahu yang tidak layak amp layak,bg citizens of jakarta the majority are smart track record then sbgi pegok decent value not lead jakarta so citizens of jakarta sdh twenty years of living in jakarta sdh level is like jgn teach swimming duck so sdh know which is not worthy amp decent
82,iyaa benar benar anjing masuk kau,yes really the dog came in you
83,ridwan kamil sejati pancasila,ridwan kamil true pancasila
84,beneran lo jadi kacung fpi,really lo be fpi mussels
85,padahal ada fpi hrs tidak pilih karna itu buzzer pdip dulu sangat puji jokowi semenjak jokowi pecah kongsi pdip sekarang serang siapa sj calon usung jokowi bersebrangan pdip itu ngaku nu nu semangka,even though there are fpi hrs not choose because that pdip buzzer used to be very praising jokowi since jokowi broke up pdip partnership now attack who is sj candidate usung jokowi opposite pdip it confesses nu nu watermelon
86,cari makan pakai nama anies emang dah buzzerp kagak bikin dapur ngebul nama anies,look for food using the name of anies eang dah buzzerp tak buat kitchen ngebul the name of anies
87,iyaa kalian maha benar kalian benar gtu sajarepot xixixixi,yes you are right you are right gtu sajarepot xixixi
88,betul politis di kasih ajar jangan selalu pecah belah rakyat tiap pilih,politically correct in teaching don't always divide the people every vote
89,cerdas kali,smart times
90,mimpimimpi kang calon diri jadi walikota bandung tahun 2013 silam,dream of becoming the mayor of Bandung in 2013
91,tabiat,habits
92,hadeeeh kira 2017 kampanye segala pake sarahadeh baaaang bang tobaatt,hadeeeh kira 2017 campaign all use sarahadeh baaaang bang tobaatt
93,hilang tel kedongoan,missing tel kedongoan
94,salah dum,wrong dum
95,iya iya gak salah iyain etika sederhana gak paham kabarin kalau negara udah hancur emas 45 kalau gin normalisasi apa mau harap ambil emas jamban emas 2024 lebih cepet,yes yes no wrong yes simple ethics do not understand the news that the country has destroyed gold 45 if gin normalizes what you want please take gold latrine gold 2024 faster
96,gampang lo jilat pantat anies,easy lo lick anies ass
97,maklumin ajah apa argumen sanggah jawab cuma silah gugat ptun deh,maklumin ajah apa argument refute the answer only silah gugat ptun deh
98,dukung hina janda niradab,support despicable niradab widow
99,ilmu politik pakai mulyono ilmu politik komunis atur 9 nagacontoh bahaya pik 1 pik 2bangsa negara mau buat bobrok sama mulyono si gembok sulo,political science use mulyono communist political science set 9 examples of the dangers of pic 1 pic 2countries want to make dilapidated with mulyono the sulo padlock
100,malah mau bikin disneyland,even want to make disneyland
101,malu telanjang,naked shame
102,dumdum udah jelas apriori,dumdum is clearly a priori
103,yukkktenggelamkan calon yabg dukung jokowi laknat masuk,yukkkkdrown the candidate who supported the incoming cursed jokowi
104,coba tonton rakyat suara inews episode 26 november,try to watch the people's voice inews episode 26 november
105,hibur aku kumpul kalimat bang,entertain me gather sentences bang
106,moga kalah,good to lose
107,omon omon kualitas milu kelen ngasih jakarta calon pimpin kualitas bacot lebih cepet pada otak sebut,omon omon milu kelen quality gives Jakarta candidates to lead bacot quality faster in the brain say
108,gw berani taruh kalau luh bakal kalah bro bumi tolak kalian mulyono allahumma shalli ala muhammad cc,i dare to put it if luh will lose bro Bumi reject you mulyono allahumma shalli ala muhammad cc
109,3 huruf fpi,3 letter fpi
110,info pilkada jakarta besok ktp bandung nyoblos bandung suswono ktp bogor masih nyoblos bogor warga jakarta suruh milih,jakarta election info tomorrow ktp bandung nyoblos bandung suswono ktp bogor still nyoblos bogor citizens of jakarta tell them to vote
111,terlalu banyak kotor dalam kepala mu ted,too much dirty in your head ted
112,ktp bandung nyoblos bandung suswono ktp bogor masih nyoblos bogor warga jakarta suruh milih,ktp bandung nyoblos bandung suswono ktp bogor still nyoblos bogor jakarta residents tell them to vote
113,tuju biar senang tuh orang,aim to make people happy
114,kapasitas pramdul tugas partai mak banteng,capacity of the prefect of duty of the Mak Banteng party
115,wah kpn inigue makin gedeg sm rk,wow kpn inigue makin gedeg sm rk
116,wah bagaimana bang,wow how's bang
117,beda bayar,pay difference
118,kalau sama herkules apa janji,if the same herkules what promise
119,emang malu2in lo bismillah lo kalah rk bukan ktp jakarta minta orang jakarta milih lo,emang malu2in lo bismillah lo lose rk not ktp jakarta ask people of jakarta milih lo
120,tradisi mulyono dipake ajmsih sangat nganu sekali mimpi harap indonesia emasngapain cape2 pilkada kalau msih dukung mndkungkok lebih tarik ngrus pilkada ktmbang ngrus negara jabat lekat mau ngmong kapasitas sbg apa,mulyono tradition used ajmsih very nganu once dream hope indonesia emasngapain cape2 pilkada if msih support mndkungkok more attractive ngrus pilkada ktmbang ngrus country jabat lekat mau ngmong capacity as what
121,hahaha emang susah kalau udah cinta mah,hahaha it's hard if you already love mah
122,politik uang politik sembako,money politics food politics
123,lama jadi kuasa ada salah tedsemua nya benar cari benar indonesia woiii,for a long time so the power is wrong all of them are true find true Indonesia woiii
124,nah pak dilaporin,well sir reported
125,memang lama ada intoleransi siapa oya yang sebar yakin ummat agama kan itu,"indeed, for a long time there was intolerance who was the one who spread the belief that the religious community was"
126,pilih saja tak usa ajak2 lain biar warga minoritas pikir2 sendiri rido pantes pilih ato dasar latar belakang amp prestasi yang pasti jelas blm lg trek rekor kotor parte obral agm amp ayat,just choose not to invite others so that minority residents think for themselves rido pantes choose ato basic background amp performance that is definitely clear blm lg track record dirty parte sale agm amp verse
127,santri atas toll su,santri atas toll su
128,suatu hr seorg driver depan lampu lalin lampu hijau pun pacu kendara sgt kencang amp abai selamat sama lolos lampu merah takdir kata bhwa lampu sdh keburu kuning lalu merah semua org jadi jengkel laku,a hr a seorg driver in front of the traffic lights green lights also drive the vehicle sgt fast & ignore the same survivor escapes the red light destiny said bhwa the light sdh to yellow then red everyone gets annoyed behavior
129,ternak ternak si piraun macam kau kite bise bileng ape tedlinglung jgn pamer ngapa,the piraun's livestock like you kite bise bileng ape tedlinglung don't show off why
130,besok besok kalau mau nantang orang pikir pikir dek ya jangan bawa bawa presiden pak presiden gaperlu bain orang kayak lu sumpah tanya langsung wkwkwk,"tomorrow if you want to challenge people, think about it, don't bring the president, Mr. Gaperlu, bain, people like you swear to ask directly wkwkwk"
131,salah cuma elok etis bang kalau jadi presiden iya baik netral milik semua rakyat tidak etis kalau ia partisan,wrong is only good ethical bang if you become president yes well neutral belongs to all people is unethical if you are partisan
132,inti cuma 1 sih dunia politik golong bela mati2an bersebrangan akan di cari2 salah bego masyarakat ikut2an,core only 1 anyway the world of politics golong martial arts opposite each other will be searched for one of the people to follow along
133,sebut positif apa biar org tau tidak positivenya kau tau,call it positive what so people know not the positivity you know
134,lengkap dong kayak gin jangan bodo bodohin masyarakat laah dosa deck tedy tar aku aduin don dasco nih biar ditandain nama lu hahahahaha,complete dong kayak gin don't stupid fools society laah sin deck tedy tar I aduin don dasco nih let your name be marked hahahahaha
135,pimpin jalur autocad,lead autocad pathway
136,dengerin pak banget mah,listen to sir really mah
137,syukur pks mau gandeng sama non muslim kan jadi lebih tenteram,"thankfully, pks wants to collaborate with non-Muslims, it will be more peaceful"
138,sorry lae jakarta pikir mayoritas minoritas aja terlalu lebih jadi perhati warga sekarang gubernur tidak asuh tidak bawah bayangbayang mulyono,sorry lae jakarta think the majority of the minority is too much concern for the citizens now the governor is not fostered not under the shadow of mulyono
139,hindar debat orang bodoh bebal contoh orang 1,avoid the debate of stupid fools example of people 1
140,pokok salah teroooss heran,wrong tree teroooss wonder
141,laah malah playing victim awal yang ngatain bodoh duluan gaseneng bilang tolol kan emang bahas pilkada teddy wkwkwk hadeh udah bener lu gadapet jabat bos sumpah,laah even playing the initial victim who matain stupid first gaseneng said stupid right eang discuss the election teddy wkwkwk hadeh have you really gadapet jabat boss swear
142,emh emh by by solusi atas macet jkt kerja tempat sesuai domisili,emh emh by by solution to traffic jams jkt work place according to domicile
143,cawapres hasil putus paman tidak salah buat amah,vice president results of breaking up uncle is not wrong for amah
144,pilih pimpin tidak cawe2 kuasa malu pilih pimpin punya program realistis tidak tipu janji manis racun,"choose pimpin, not cawe2, the power of shame, choose pimpin, have a realistic program, don't lie, promise sweet poison"
145,tuh bang,tuh bang
146,duhh koq politik identitas sih didengungkanmestinya gak usah dikotomi perihal minoritas mayoritas please atuh ahh,duhh koq identity politics should not need a dichotomy about the majority minority please atuh ahh
147,ucap suswono kader pks bukan canda itu rendah martabat wanita khusus janda lagi suswono nista nabi muhammad sawsangat parah moral cagub cawagub di usung kim plus mulyono,"said suswono the cadre of pks was not a joke, it was low dignity for women, especially widows again suswono nista prophet muhammad saws very severe moral cagub cawagub in the stretcher kim plus mulyono"
148,emang nyet,emang nyet
149,salah nya lu punya otak tidak pake,wrong you have a brain don't use
150,yg paling penting jangan pernah pilih ada pks nya udah paling bener kalau indonesia bubar,the most important thing is never to choose there are pks already the most correct if Indonesia dissolves
151,yg tidak reply,who does not reply
152,gugat cawapres rusak konstitusi mentalapalgi,lawsuit against the vice president damaged the mentalapalgi constitution
153,ga usah pakai minoritas mayoritas hidup indonesia punya akal sehat bisa pilih sesuai mana siapa di pilih kalah menang konsekuensi positif cara pikir happy enjoy,no need to use a minority of the majority of Indonesian people have common sense can choose according to which one is chosen to lose win positive consequences how to think happy enjoy
154,cawapres kurang umur bisa jadi benerapalagi,vice president who is less than age can be better
155,ya salah manut tapi kasih contoh dong negara maju mana ada kayak gin mirip2 gin masih jabat presiden,yes one manut but give an example of a developed country where there is like gin similar to gin still the president's office
156,nih coba jawab noh,here try to answer noh
157,monggo pak pak suswono lapor ini orang sebar kan identitas pribadi,monggo pak suswono this report people spread personal identity
158,udah mati orang,dead people
159,kamu tadi tanya sila bukti aku jawab foto video jadi bukti ngga perlu sok rumit deh kalau fotovideo beliau adalah presiden salah satu kandidat pilkada semua orang tahu arti apa,you just asked please prove I answered the video photo so the evidence doesn't need to be complicated if his photovideo is the president of one of the candidates for the elections everyone knows what it means
160,ikut jadi buzzer mulyono nih yeee laku kelompok rasa minoritas pdhl warga dki ada tuh anut mayoritas minoritas ente baperan ahh,come be a mulyono buzzer nih yeee behavior of minority taste groups pdhl residents dki there is an anut majority of minorities ente baperan ahh
161,narasi dungu,stupid narrative
162,mah bebas milih siapa tetap kaya ginigini kita jadi objek korban politik 5 thn sekali,mah free to choose who stays rich ginigini we become the object of political victims once every 5 years
163,huahahahaha jawab standard gak perlu duga,huahahahaha answered the standard does not need to be presumed
164,foto video pakai masker sudah sudah mampu jelas tuduh dan sama sekali mampu jawab tanya aku next kalau sama sekali gak ngerti jangan sok ngerti jadi ini bye,photo video wearing a mask is already able to clearly accuse and at all able to answer my question next if at all do not understand do not pretend to understand so this is bye
165,aku sehh yessspilih coblos semuanyawwkkk,me sehh yessspilih coblos semuawwkkk
166,mungkin salah tapi klu cara pribadi malu mngetahui ada seperti orang presiden kepala negara sekaligus panglima tertinggimau2nya laku sepele kayak gin beliau hormat mata pimpin dunia saya tidak level beliau lah,may be wrong but the clue is a personal way to be ashamed to know that there is such a person as the president of the head of state as well as the highest commander of the tiger 2 he behaves trivially like a gin he respects the eyes of the world leader I am not his level
167,macam alas buat muas nafsu syahwat gerombol cara tdj sadar jual negara,like a mat for the muas orgasms of the horde how to unknowingly sell the country
168,aku screenshot tanggap aku tulis lengkap putus tindak huruf besar potong pasal aku jelas lengkap anda gak baca kan aku pikir cukup aku jadi bagai konten contoh bodoh aku izin,i screenshot responsiveness i write complete break up action capital letters cut my article is clear complete you don't read it right i think enough i become like a stupid example content i permission
169,kok jadi sara gin wolas bang usah bawa2 agama napa,why so sara gin wolas bang don't bring napa religion
170,kan tadi bilang bukti edar fotovideo cukup kan ngga perlu ke surat segala,"right earlier said that the proof of distribution of photovideo is enough, it's not necessary to mail everything"
171,jngn bawa bawa sara bang,don't bring sara bang
172,hadap politik ini benar hadap situasi sulit apa klen error apa iya lebih dekat dari pramono klen tak waras iya bung pdi liang kubur akan warna malaikat kubur kenal pdi paham,facing this politics is right facing a difficult situation what is klen error what yes is closer than pramono klen is insane yes man p in the grave will be the color of angels graves know pdi understand
173,yah moga ted gus gentle lanjut papar opini sanggah nya fia punya hak kabur bak cundang ya selaku orang politikus bukankah suatu wajar beri didik politik salah satu nya lalu adu argumen,well let's hope ted gus gentle continue to show the opinion of his refutation fia has the right to run away like a loser huh as a politician isn't it natural to give political education to one of them and then fight an argument
174,iya salah kenapa pilkada langsung tunjuk rk kawankawannya jadi gubernur jadi negeri negeri komuniskerajaankesultanandinasti sekali,"yes, it's wrong why the local election directly appointed his friend to be the governor of the communist state, the government of the Sultan and certainly"
175,mana partai dukung jelek jelekin usung nya ada jelek bilang bagus salah bain mati an cagub n cawagub jokowi prabowo bukan warga jakarta bakal nyoblos si rk si rk nya tidak nyoblos muka nya sendiri entah sby warga mana,which party supports ugly uglyin the stretcher is bad say good wrong bain die an cagub n cawagub jokowi prabowo not a citizen of jakarta will nyoblos si rk si rknya not nyoblos his own face I don't know which citizen sby
176,dengekeun sia belegug,dengekeun sia belegug
177,kecil prosentasenya tuju kalau kau bawa2 jurus agama slm guna issue untuk pecah belah bangsa bukti lama 10 thn mental bgs jadi rusak penting partai org2 oportunis jaman sekarang sdh banyak org cerdas walaupun tidak fasilitas perintah,small percentage aim if you bring 2 religious moves slm use issue to divide the nation old evidence 10 yrs mental bgs so damaged important party of opportunist people nowadays there are many intelligent people even though not command facilities
178,gak usah layan si tg seperti otak sdh rusak,don't have to treat the tg like the brain is damaged
179,standar ganda nama om,standard double name om
180,maki makin banyak arti makin panik sama sekali bisa ban pasal 62 ayat 2 upload itu bukan milu tentang kampanye pilkada tepat pkpu 13 tahun 2024 fix sama sekali erti apa anda upload anda,maki the more meaning the more panic at all can ban article 62 verse 2 upload it is not milu about the election campaign right pkpu 13 of 2024 fix at all what you upload you
181,bang mohon kalau buang sampah tempat oknum memang pernah cetus kredit bank buat umat tempat ibadah agama tentu jadi jelas cetus ide riba makan sono riba leceh lain gender,"bang please if throwing garbage in an illegal place has indeed triggered bank credit for people of religious places of worship, of course it becomes clear that the idea of usury eating sono usury is abusive to other genders"
182,sama kok sama sitedd yayah telek,same as sitedd yayah telek
183,ku kira lg satir nyata emang oon aja,i think lg real satire emang oon aja
184,rido menang,rido wins
185,lucu,cute/funny
186,udah mantap rido untuk jakarta lebih baik program nyata dukung makin solid pilih jelas banget,already steady rido for jakarta better real program support more solid choose very clear
187,program didik sehat bikin masyarakat optimis udah mantap rido anakanak jakarta punya masa depan cerah jamin,healthy student program makes the community optimistic already steady rido children of Jakarta have a bright future guaranteed
188,awal gue udah yakin sama rk suswono makin sini makin bukti pilih baik udah mantap rido sepenuh hati,at first I was sure of the same rk suswono more and more here the evidence of choosing well was steady rido wholeheartedly
189,hrs dukung rk suswono ulama tuju mah udah makin jelas pilih gue udah mantap rido jakarta maju,hrs support rk suswono ulama tuju mah udah more clearly choose me already steady rido jakarta forward
190,kalau aku sih udah mantap rido karena paling dekat rakyat dengar keluh kesah rakyat,if I was already steady rido because the closest people heard the people's complaints
191,programprogram rk jelas banget manfaat buat masyarakat udah mantap rido mah jakarta lebih maju,the rk program is clearly very beneficial for the community already steady rido mah jakarta is more advanced
192,paslon boleh coba ini udah udah mantap rido pilih tepat buat jakarta,paslon may try this already steady rido choose right for jakarta
193,hrs udah dukung masyarakat makin solid udah mantap rido menang mah,hrs has supported the community more solidly has been steady rido won mah
194,dah paslon minggir dulu deh gue udah mantap rido dulu bukti sama jejak digital rk visi misi rido pas jakarta,already paslon get out of the way first deh I've been steady rido first proof of the same digital footprint rk vision mission rido pas jakarta
195,udah mantap rido bukan sekadar slogan cermin komitmen jakarta lebih baik programprogramnya rancang matang dukung ulama pilih baik masa depan ibu kota udah mantap rido,already steady rido is not just a slogan mirroring Jakarta's commitment better program plan carefully support scholars choose well the future of the capital city already steady rido
196,haru prabowo guna surat pakai partai gerinda bukan atas pribadidalam surat jelas atas nama tum partaihanya kode etik kenakalau atur tak masalah,"haru prabowo to use the grinding party letter not on a personal basis in a clear letter on behalf of the party, the code of ethics will not be a problem or regulate it"
197,program rk realistis banget sesuai butuh masyarakat jakarta perlu mikir kali udah mantap rido fix,very realistic rk program according to the needs of the people of jakarta need to think about times already steady rido fix
198,jakarta sekarang simpang mau maju pilih pimpin solusi nyata udah mantap rido untuk ubah besar masa depan cerah,"jakarta is now at a crossroads to move forward, choose to lead the real solution, it's been steady rido to change the big bright future"
199,ulama udah sepakat tokoh masyarakat ikut dukung udah mantap rido mah buat jakarta lebih aman,ulama has agreed that community leaders will support rido mah to make Jakarta safer
200,awal gue ragu mau pilih siapa begitu hrs kasih dukung rk langsung yakin udah mantap rido mah solusi baik,at first I was hesitant to choose who so hrs give support rk immediately sure already steady rido mah good solution
201,halah kata mu gak ngaruh udah siap udah mantap rido jakarta gaspol mah aku,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  21 HOURS 35 MINUTES 23 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
202,ulama udah dukung tokoh betawi udah gabung elemen masyarakat siap udah mantap rido buat jakarta lebih baik,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  21 HOURS 35 MINUTES 22 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
203,gw udah gak pake mikir panjang udah mantap rido paling tepat buat jakarta hrs dukung kita,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  21 HOURS 35 MINUTES 21 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
